Point_ID,OC,Elevation,lat,lon
34103754,25.5,158,56.045482664612024,-4.7280367198867985
34443774,503.5,500,56.28228628202372,-4.257593082806456
35163814,51.4,404,56.75750082619707,-3.2358594328027617
32323656,470.3,364,54.83814563810015,-7.129786750257708
34463934,43.1,315,57.68977200108513,-4.7737856184751
33983238,32.4,137,51.48846991733612,-3.3749582652871326
34043240,21.1,131,51.51591079693,-3.2949942351968935
33723266,53.2,137,51.69173592511513,-3.8195040654632093
34203268,16.0,514,51.788749223415486,-3.139953756565953
33663268,16.0,232,51.699132903083736,-3.910428478053593
34123260,46.5,377,51.705257755884695,-3.2333319676465857
33723292,40.3,152,51.92054310758605,-3.8908319759370515
34163274,506.0,570,51.83518856824614,-3.2128164429948773
33523262,48.2,168,51.622313355834386,-4.093053231811096
34743694,76.9,294,55.63076507620053,-3.53247296038177
34203250,52.3,441,51.62998907157533,-3.09333057701654
33683636,34.1,201,54.93384411099506,-4.987100073165189
33983926,493.7,68,57.5288319149351,-5.530106148058383
34983634,48.2,233,55.141691192241595,-2.9820195026228675
33203610,72.3,89,54.615356359169986,-5.631100744702013
33923826,107.2,141,56.64259259235612,-5.26227043248316
33623332,38.8,259,52.25512780739527,-4.1464688165905
34383316,29.8,300,52.24102643406065,-3.006501232664371
33923340,494.7,598,52.37689707674511,-3.735865432331633
34083328,45.2,441,52.29798716824374,-3.4717277170938527
34543252,30.4,146,51.70127218212579,-2.6134231415392453
34883940,62.1,170,57.81830501193902,-4.103450122571913
34683874,180.5,642,57.20310874735686,-4.205886685209589
34823880,50.6,550,57.28048881209878,-3.9985183152495254
35623878,32.3,288,57.396330465476325,-2.686115398286196
36143890,30.8,65,57.58227570258377,-1.86719402404961
35523886,31.4,209,57.45092288563401,-2.8745087627461667
35343868,265.4,572,57.2629651757538,-3.1127096381293367
34903806,35.1,215,56.64349864518383,-3.6280656138044134
34883746,39.2,265,56.112028506696866,-3.471930613816294
34863910,18.0,60,57.551160601176235,-4.034080432683702
35623450,20.2,192,53.612851871348994,-1.5230406771187535
34783974,194.6,202,58.099073850079876,-4.387584039495581
35483996,502.2,157,58.41404710737124,-3.2930618157023273
35163756,82.9,272,56.24637544482644,-3.0587309527154636
34503808,58.8,379,56.59151230822743,-4.274450961478084
35163810,328.1,377,56.72225942760129,-3.2234627749415052
35083828,85.5,570,56.867510510071156,-3.4084812773552424
34283790,112.9,348,56.39401331649255,-4.564628911069134
34743820,314.8,399,56.73913886226172,-3.9297076193769547
34983814,273.8,323,56.727451854156264,-3.5251359019123494
32743594,32.9,166,54.38495954302364,-6.270595986827029
34023646,124.4,188,55.0836372507264,-4.4981371834529265
35243890,48.4,310,57.4402589900011,-3.345765013485177
34543914,44.1,183,57.5290563760858,-4.571811224137373
34203340,56.2,497,52.42348852682127,-3.3305542747091788
34963910,20.5,58,57.56861074221592,-3.8701149978923572
35263882,35.3,388,57.3731226822402,-3.287489711381551
35003898,40.4,201,57.46998866016271,-3.764638996176385
35563894,37.8,173,57.52792375487279,-2.8336301518152043
35223916,15.2,58,57.665863560614774,-3.4626708819828447
35923884,78.0,162,57.49605787589748,-2.2119063559416876
34543878,60.3,302,57.21317976519052,-4.446737736461832
34803882,115.1,376,57.29456309876187,-4.037765439767357
35223844,55.1,433,57.03172266796026,-3.2325445520033194
35403718,26.3,226,55.94946064937358,-2.5673288385543582
34583846,513.6,593,56.939432850278266,-4.273177362151335
35703842,65.0,136,57.0910892330353,-2.447632389890979
34303750,62.7,85,56.04661569678836,-4.399903619667278
34263752,3.4,71,56.05698742664273,-4.4694935005375624
34483758,35.8,66,56.14882364910459,-4.142096157464833
34763770,19.0,138,56.30290282009239,-3.7370835947262444
34663764,42.6,230,56.232943786472134,-3.8766108144790197
34583698,148.7,278,55.63879330511666,-3.7946227621943778
35843846,55.4,193,57.14802082396642,-2.2316021121206573
34083778,141.5,306,56.25219121850312,-4.840883646087447
35103844,54.5,436,57.01174594025831,-3.42682495125701
35743822,24.9,153,56.92062898877587,-2.324137753146949
34843470,24.6,65,53.672747647056795,-2.739064781568687
36683238,15.2,128,51.86805560214877,0.4885293999511896
35303378,34.4,172,52.92943660931211,-1.8224873801361288
35623248,41.6,215,51.822867222821586,-1.0571389054830447
33803170,37.5,189,50.859538037175234,-3.4516861552545324
35163256,49.2,165,51.82933930269048,-1.7355511643116486
33483142,65.2,352,50.559487084736844,-3.825133557581033
35263792,69.2,216,56.579979563975094,-3.007899778299722
36483340,24.8,49,52.75118063848659,-0.003219756418701989
34263166,37.0,103,50.89814102230215,-2.796796994176606
35643196,27.4,91,51.36430513774157,-0.9160312718823836
35943280,18.2,116,52.149513029659865,-0.6650528076406186
35823622,26.9,108,55.1641332885732,-1.649144532917366
35803608,40.7,125,55.03733738386739,-1.6440145511437205
35623612,41.2,192,55.04638056639227,-1.9325688162746084
35783656,41.0,120,55.45914796814102,-1.8002458038607703
35303284,27.3,125,52.09733850487254,-1.5991727401581275
